Crash Number,Day of the Week,Day ,Time of Day,Time ,Place,Controlled Access,Access ,Manner of Crash,Crash Manner,Crash Severity,Intersection Related,Intersection Relationship,At Intersection,Intersection Location,Functional Class,Lighting Conditions,Light Conditions ,Weather,Weather C,CU Roadway Condition,Roadway Condition,CU Roadway Curvature and Grade,Roadway Curvature,Latitude,Longitude
2719813,Wednesday,Weekday,1:00 PM to 1:59 PM,Off-Peak Hour,Urban,Off Ramp, Controlled,Head-On (front to front only),Head-On,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Interstate,Daylight,Daylight,Clear,Clear,Dry,Dry,Curve Right and Down Grade,Curve,30.644582,-88.119168
2719848,Wednesday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (angled),Angular,Possible Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight with Up Grade,Straight,33.844259,-87.251154
2719918,Wednesday,Weekday,4:00 PM to 4:59 PM,Peak Hour,Rural,Not a Controlled Access,Not Controlled,Angle (front to side) Same Direction,Angular,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,31.152174,-87.152279
2719953,Wednesday,Weekday,6:00 PM to 6:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Dark - Roadway Not Lighted,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.900773,-86.671839
2713305,Tuesday,Weekday,2:00 PM to 2:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Angle (front to side) Opposite Direction,Angular,Fatal Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Local,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.805096,-86.850237
2720199,Thursday,Weekday,10:00 AM to 10:59 AM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (90 degrees),Sides,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,32.380746,-86.273375
2720214,Wednesday,Weekday,1:00 PM to 1:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Other,Other,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight at Hillcrest,Straight,34.286023,-87.875876
2717944,Saturday,Weekend,2:00 PM to 2:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Other,Other,Suspected Serious Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,31.215861,-85.361328
2720469,Thursday,Weekday,8:00 PM to 8:59 PM,Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Dark - Roadway Not Lighted,Dark,Clear,Clear,Dry,Dry,Curve Right and Level,Curve,32.76416,-86.792972
2714344,Thursday,Weekday,6:00 AM to 6:59 AM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Dusk,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,33.278088,-87.599808
2720598,Thursday,Weekday,5:00 PM to 5:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Angle (front to side) Opposite Direction,Angular,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Null value,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.742488,-87.635266
2720391,Thursday,Weekday,5:00 PM to 5:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (angled),Angular,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Principal Arterial - Other,Dusk,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.206681,-86.870441
2719826,Wednesday,Weekday,2:00 PM to 2:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Possible Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Local,Daylight,Daylight,Cloudy,Foggy,Dry,Dry,Curve Left and Level,Curve,33.759635,-85.698633
2719572,Tuesday,Weekday,5:00 PM to 5:59 PM,Peak Hour,Rural,Not a Controlled Access,Not Controlled,Sideswipe - Opposite Direction,Sides,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Principal Arterial - Other,Daylight,Daylight,Cloudy,Foggy,Dry,Dry,Straight with Up Grade,Straight,34.610426,-85.987053
2706512,Sunday,Weekend,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Angle (front to side) Opposite Direction,Angular,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,33.524712,-86.771587
2719556,Tuesday,Weekday,7:00 PM to 7:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Sideswipe - Same Direction,Sides,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Major Collector,Dark - Spot Illumination One Side of Roadway,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,30.370211,-87.693864
2720990,Friday,Weekday,7:00 PM to 7:59 PM,Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Local,Dark - Roadway Not Lighted,Dark,Clear,Clear,Dry,Dry,Curve Left and Down Grade,Curve,33.457618,-86.322321
2721118,Saturday,Weekend,8:00 AM to 8:59 AM,Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Local,Daylight,Daylight,Cloudy,Foggy,Dry,Dry,Straight with Up Grade,Straight,33.943734,-86.42115
2721572,Sunday,Weekend,1:00 PM to 1:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Daylight,Daylight,Cloudy,Foggy,Wet,Wet,Curve Left and Up Grade,Curve,34.742481,-86.548481
2721599,Sunday,Weekend,3:00 PM to 3:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Non-Collision,Non-Collision,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Principal Arterial - Other,Daylight,Daylight,Cloudy,Foggy,Dry,Dry,Straight and Level,Straight,34.680132,-87.585956
2721588,Sunday,Weekend,1:00 PM to 1:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Curve Left and Level,Curve,33.392376,-85.775696
2721859,Monday,Weekday,9:00 AM to 9:59 AM,Off-Peak Hour,Urban,Frontage Road, Controlled,Side Impact (90 degrees),Sides,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Principal Arterial - Other,Daylight,Daylight,Cloudy,Foggy,Dry,Dry,Curve Right and Level,Curve,30.462646,-87.694048
2721871,Sunday,Weekend,4:00 PM to 4:59 PM,Peak Hour,Urban,Main Road, Controlled,Rear End (front to rear),Rear-End,Property Damage Only,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,30.55474,-88.171807
2721930,Monday,Weekday,7:00 AM to 7:59 AM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Property Damage Only,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Curve Right and Level,Curve,33.376404,-86.804965
2654266,Wednesday,Weekday,12:00 Noon to 12:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Sideswipe - Same Direction,Sides,Fatal Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,33.571928,-86.482027
2721954,Friday,Weekday,7:00 PM to 7:59 PM,Peak Hour,Urban,(Main Road at) Interchage, Controlled,Rear End (front to rear),Rear-End,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Interstate,Dusk,Dark,Cloudy,Foggy,Dry,Dry,Straight and Level,Straight,33.641651,-86.615848
2721978,Monday,Weekday,2:00 PM to 2:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Side Impact (90 degrees),Sides,Non-Incapacitating Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,32.480885,-85.052772
2720506,Thursday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Main Road, Controlled,Rear End (front to rear),Rear-End,Property Damage Only,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight with Down Grade,Straight,34.162558,-87.410455
2722288,Saturday,Weekend,1:00 PM to 1:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Major Collector,Dark - Roadway Not Lighted,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,31.878329,-85.350252
2721822,Monday,Weekday,7:00 AM to 7:59 AM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Angle (front to side) Opposite Direction,Angular,Possible Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Major Collector,Daylight,Daylight,Cloudy,Foggy,Wet,Wet,Straight and Level,Straight,34.692852,-86.751331
2722341,Monday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Property Damage Only,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Daylight,Daylight,Cloudy,Foggy,Wet,Wet,Straight with Down Grade,Straight,33.216201,-87.52922
2722401,Thursday,Weekday,12:00 Noon to 12:59 PM,Off-Peak Hour,Urban,Main Road, Controlled,Rear End (front to rear),Rear-End,Property Damage Only,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight with Up Grade,Straight,34.717102,-86.750599
2721279,Saturday,Weekend,11:00 AM to 11:59 AM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Daylight,Daylight,Mist,Foggy,Wet,Wet,Straight and Level,Straight,32.469051,-86.418143
2719832,Tuesday,Weekday,4:00 PM to 4:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (angled),Angular,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,32.459276,-86.467355
2722661,Tuesday,Weekday,4:00 PM to 4:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (angled),Angular,Property Damage Only,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,33.512896,-86.78828
2722194,Tuesday,Weekday,5:00 AM to 5:59 AM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Angle Oncoming (frontal),Angular,Suspected Serious Injury,Yes - Crash Was Intersection Related,Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Dawn,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,33.602934,-86.082456
2712575,Sunday,Weekend,6:00 PM to 6:59 PM,Off-Peak Hour,Rural,Main Road, Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Interstate,Dusk,Dark,Cloudy,Foggy,Dry,Dry,Straight and Level,Straight,30.985747,-87.704288
2720400,Thursday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight with Down Grade,Straight,30.593913,-88.149012
2673029,Saturday,Weekend,1:00 AM to 1:59 AM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (angled),Angular,Fatal Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Dark - Spot Illumination One Side of Roadway,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,30.74142,-88.058433
2723082,Saturday,Weekend,10:00 PM to 10:59 PM,Off-Peak Hour,Urban,Main Road, Controlled,Other,Other,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Dark - Continuous Lighting Both Sides of Roadway,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,32.381078,-86.272374
2721718,Monday,Weekday,12:00 Midnight to 12:59 AM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Local,Dark - Roadway Not Lighted,Dark,Rain,Precipitation,Wet,Wet,Straight at Hillcrest,Straight,34.856709,-86.500002
2722993,Wednesday,Weekday,5:00 PM to 5:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Property Damage Only,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Dark - Spot Illumination Both Sides of Roadway,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,31.228562,-85.434375
2723287,Monday,Weekday,8:00 PM to 8:59 PM,Peak Hour,Urban,Main Road, Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Possible Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Dark - Roadway Not Lighted,Dark,Clear,Clear,CU is Unknown,Dry,CU is Unknown,Curve,33.397008,-87.046997
2723379,Thursday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Curve Left and Down Grade,Curve,34.884303,-88.076479
2723551,Thursday,Weekday,9:00 PM to 9:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (angled),Angular,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Dark - Spot Illumination Both Sides of Roadway,Dark,Cloudy,Foggy,Dry,Dry,Straight and Level,Straight,30.450665,-87.664579
2723636,Sunday,Weekend,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Angle Oncoming (frontal),Angular,Suspected Serious Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,32.947634,-85.940296
2723995,Thursday,Weekday,11:00 PM to 11:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Local,Dark - Spot Illumination One Side of Roadway,Dark,Cloudy,Foggy,Dry,Dry,Straight with Up Grade,Straight,33.400591,-86.947184
2723233,Wednesday,Weekday,2:00 PM to 2:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Sideswipe - Opposite Direction,Sides,Non-Incapacitating Injury,Yes - Crash Was Intersection Related,Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Local,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.825865,-87.086749
2724107,Saturday,Weekend,12:00 Noon to 12:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Angle Oncoming (frontal),Angular,Property Damage Only,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,30.273454,-87.687209
2724153,Saturday,Weekend,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,Yes - Crash Was Intersection Related,Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,33.196997,-87.523714
2724194,Saturday,Weekend,12:00 Noon to 12:59 PM,Off-Peak Hour,Urban,Main Road, Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Possible Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Interstate,Daylight,Daylight,Clear,Clear,CU is Unknown,Dry,CU is Unknown,Curve,32.363223,-86.32168
2724452,Sunday,Weekend,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Main Road, Controlled,Side Impact (90 degrees),Sides,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,30.761159,-88.124402
2724544,Sunday,Weekend,4:00 PM to 4:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Local,Dusk,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,32.285282,-86.18224
2722534,Tuesday,Weekday,5:00 PM to 5:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Dark - Roadway Not Lighted,Dark,Clear,Clear,Dry,Dry,Curve Left and Level,Curve,31.30685,-86.326745
2721522,Tuesday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Head-On (front to front only),Head-On,Fatal Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.326482,-85.846236
2725500,Thursday,Weekday,4:00 PM to 4:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Non-Collision,Non-Collision,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.649405,-86.539942
2724424,Sunday,Weekend,1:00 PM to 1:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Curve Left and Level,Curve,31.648936,-85.221033
2725614,Wednesday,Weekday,8:00 AM to 8:59 AM,Peak Hour,Urban,Main Road, Controlled,Rear End (front to rear),Rear-End,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Interstate,Daylight,Daylight,Cloudy,Foggy,Dry,Dry,Straight and Level,Straight,33.487531,-86.825013
2725727,Saturday,Weekend,12:00 Midnight to 12:59 AM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Dark - Spot Illumination Both Sides of Roadway,Dark,Clear,Clear,Dry,Dry,Straight with Up Grade,Straight,33.654851,-86.646214
2722707,Wednesday,Weekday,5:00 AM to 5:59 AM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (90 degrees),Sides,Suspected Serious Injury,Yes - Crash Was Intersection Related,Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Dusk,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,30.644782,-88.067829
2726377,Thursday,Weekday,7:00 PM to 7:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (angled),Angular,Possible Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Dark - Unknown Roadway Lighting,Dark,Clear,Clear,Dry,Dry,Straight with Up Grade,Straight,34.702529,-86.706843
2727435,Sunday,Weekend,12:00 Noon to 12:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Side Impact (90 degrees),Sides,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Local,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,32.469925,-85.089093
2727506,Sunday,Weekend,4:00 PM to 4:59 PM,Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Local,Dusk,Dark,Clear,Clear,Dry,Dry,Curve Right and Level,Curve,33.229062,-86.769965
2723480,Thursday,Weekday,4:00 PM to 4:59 PM,Peak Hour,Rural,Not a Controlled Access,Not Controlled,Angle Oncoming (frontal),Angular,Property Damage Only,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,30.589296,-87.843566
2728391,Tuesday,Weekday,6:00 PM to 6:59 PM,Off-Peak Hour,Urban,Main Road, Controlled,Angle Oncoming (frontal),Angular,Non-Incapacitating Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Dark - Spot Illumination One Side of Roadway,Dark,Cloudy,Foggy,Dry,Dry,Straight and Level,Straight,30.545544,-87.773733
2728569,Wednesday,Weekday,1:00 PM to 1:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Curve Left and Up Grade,Curve,32.543447,-86.134282
2728643,Wednesday,Weekday,2:00 PM to 2:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Curve Left and Down Grade,Curve,34.912107,-87.108587
2725911,Wednesday,Weekday,1:00 PM to 1:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Local,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.756682,-87.646903
2729126,Thursday,Weekday,10:00 AM to 10:59 AM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Daylight,Daylight,Cloudy,Foggy,Dry,Dry,Curve Right and Down Grade,Curve,31.449831,-86.02686
